SetNumber,ElementID,Qty,Colour,Category,DesignID,ElementName,ImageURL,ElementSetCount,GeometryStatus,Projection,WidthMM,HeightMM,ThicknessMM,StorageMode,RecommendedDepthMM,FloorWidthMM,FloorHeightMM,FloorAreaMM2
17101-1,4211428,6,Medium Stone Grey,Bricks,3622,BRICK 1X3,/cdn/product-assets/element.img.lod5photo.192x192/4211428.jpg,469,exact,XY,24.2,11.4,8.0,edge_magazine,42.0,28.2,16.0,451.2
17101-1,4244627,1,Medium Stone Grey,Plates,48336,PLATE 1X2 W. STICK 3.18,/cdn/cs/set/assets/blt616604b43d3daffb/4244627.jpg,551,exact,XZ,16.2,14.6,4.8,shadow_stack,6.8,20.2,18.6,375.72
17101-1,4515351,6,Medium Stone Grey,Plates,60474,PLATE 4X4 ROUND W. SNAP,/cdn/cs/set/assets/blt6970931d9ec24e98/4515351.jpg,241,exact,XZ,32.2,32.2,4.8,shadow_stack,30.8,36.2,36.2,1310.47
17101-1,6043639,4,Medium Stone Grey,Plates,14418,PLATE 1X2 BALL CUP / FRICTION END,/cdn/cs/set/assets/bltc6aa438f7e6570b0/6043639.jpg,565,exact,XZ,22.2,8.2,6.3,shadow_stack,27.2,26.2,16.0,419.2
17101-1,6168615,2,Medium Stone Grey,Plates,28802,ANGLE PLATE 1X2/1X4,/cdn/product-assets/element.img.lod5photo.192x192/6168615.jpg,206,exact,XY,32.2,9.8,11.2,shadow_stack,24.4,36.2,16.0,579.2
17101-1,6326078,2,Medium Stone Grey,Plates,44861,PLATE 1X2 W. VERTICAL GRIP,/cdn/cs/set/assets/blt91246691fed2abfb/6326078.jpg,352,exact,XZ,16.2,8.2,7.2,shadow_stack,16.4,20.2,16.0,323.2
17101-1,4211536,2,Medium Stone Grey,Connectors,6553,CATCH,/cdn/product-assets/element.img.lod5photo.192x192/4211536.jpg,155,exact,XY,8.2,23.8,7.2,shadow_stack,16.4,16.0,27.8,444.8
17101-1,4211714,2,Medium Stone Grey,Technic Beams,32557,TECHNIC CROSSBLOCK 2X3,/cdn/product-assets/element.img.lod5photo.192x192/4211714.jpg,69,exact,XY,15.404,23.402,8.0,shadow_stack,18.0,19.4,27.4,531.71
17101-1,4211758,2,Medium Stone Grey,Connectors,42610,"HUB Ã˜11,2 X 7,84",/cdn/cs/set/assets/blt234f80357874cb69/4211758.jpg,403,exact,XY,11.404,11.404,8.0,shadow_stack,18.0,16.0,16.0,256.0
17101-1,4211807,5,Medium Stone Grey,Connectors,3673,CONNECTOR PEG,/cdn/cs/set/assets/blt20a25386ffb1e59c/4211807.jpg,1283,exact,XZ,16.2,6.6,6.4,shadow_stack,34.0,20.2,16.0,323.2
17101-1,4211865,6,Medium Stone Grey,Connectors,32054,2M FRIC. SNAP W/CROSS HOLE,/cdn/product-assets/element.img.lod5photo.192x192/4211865.jpg,244,exact,XZ,24.2,7.4,7.2,edge_magazine,42.0,28.2,16.0,451.2
17101-1,4535768,2,Medium Stone Grey,Connectors,60485,CROSS AXLE 9M,/cdn/product-assets/element.img.lod5photo.192x192/4535768.jpg,279,exact,XZ,72.2,5.0,4.8,shadow_stack,11.6,76.2,16.0,1219.2
17101-1,4652235,1,Medium Stone Grey,Miscellaneous,99009,LOWER PART FOR TURNTABLE z28,/cdn/product-assets/element.img.lod5photo.192x192/4652235.jpg,61,exact,XZ,23.4,21.8,13.2,shadow_stack,15.2,27.4,25.8,706.93
